event_id,timestamp,actor,event_type,payload,caused_by,source_level,source_citation,confidence,relevant_query,weight_sign
NOK16,2009,"Nokia / Intel",POLICY,"MeeGo platform announced (Maemo + Moblin merger) as Symbian successor; resource split between Symbian + MeeGo creates internal substrate ambiguity.",NOK09,3,"Lamberg et al 2021 p. 1092; Vuori & Huy 2016 p. 25",HIGH,capability:mobile-platform-development,-
NOK17,2010-09,"Stephen Elop",PERSONNEL,"Elop (former Microsoft Business Division president) appointed Nokia CEO; first non-Finnish Nokia CEO.",NOK10,1,"Nokia press release 2010-09-10; Nokia 20-F FY2010 SEC filing",HIGH,capability:strategic-focus,+
NOK18,2011-02-09,"Stephen Elop",ARTIFACT,"'Burning Platform' internal memo leaked: declares Symbian + MeeGo non-viable; signals OS strategy change before formal announcement.",NOK17,4,"Engadget + WSJ leak 2011-02-09; Lamberg et al 2021 p. 1094",HIGH,capability:mobile-platform-development,-
NOK19,2011-02-11,"Stephen Elop / Steve Ballmer",DECISION,"Nokia-Microsoft strategic partnership announced: Nokia commits to Windows Phone as primary smartphone OS; Symbian transitioned to legacy; MeeGo abandoned post-N9.",NOK18,1,"Nokia 6-K SEC filing 2011-02-11; Microsoft press release",HIGH,capability:mobile-platform-development,-
NOK20,2011-Q1,"Nokia / Stephen Elop",FAILURE,"'Osborne effect' onset: Symbian sales collapse 30%+ quarter-over-quarter following Windows Phone announcement; revenue substrate erodes before WP product ships.",NOK19,3,"Nokia 20-F FY2011 SEC filing; Lamberg et al 2021 p. 1095",HIGH,capability:mobile-platform-development,-
NOK21,2011-06,"Nokia",ARTIFACT,"Nokia N9 (MeeGo) released to limited markets; final MeeGo device; widely positively reviewed but discontinued.",NOK16,4,"Press coverage 2011; Lamberg et al 2021 p. 1095",MEDIUM,capability:mobile-platform-development,+
NOK22,2011-10,"Nokia",ARTIFACT,"Lumia 800 launched: first Nokia Windows Phone device.",NOK19,3,"Nokia 20-F FY2012; press record",HIGH,capability:mobile-platform-development,+
NOK23,2011-2013,"Nokia engineering",FAILURE,"Hardware-software co-design routines built around Symbian (10+ year POLICY substrate) cannot be redeployed cleanly against Windows Phone (Microsoft-owned closed substrate); hardware lead times no longer matched to OS feature roadmap.",NOK19,3,"Vuori & Huy 2016 p. 33-36; Lamberg et al 2021 p. 1096",HIGH,capability:mobile-platform-development,-
NOK24,2012,"Nokia",FAILURE,"Nokia operating loss EUR -2.3B FY2012; cumulative market-cap loss from 2007 peak >90%.",NOK20,1,"Nokia 20-F FY2012 SEC filing",HIGH,capability:strategic-focus,-
NOK25,2012-2013,"Nokia engineering / supplier base",FAILURE,"Tier-1 supplier relationships (semiconductor, display) restructured as Lumia volumes fall short of Symbian-era volumes; long-tenured procurement relationships disrupted.",NOK23,3,"Lamberg et al 2021 p. 1096; Vuori & Huy 2016 p. 35",MEDIUM,capability:supply-chain-coordination,-
NOK26,2013-09-03,"Stephen Elop / Steve Ballmer / Nokia + Microsoft Boards",DECISION,"Microsoft announces acquisition of Nokia Devices & Services + Nokia patent license for EUR 5.44B (USD 7.17B); deal explicitly described as 'bold step into the future' (Ballmer).",NOK22,1,"Microsoft 8-K SEC filing 2013-09-03; Nokia 6-K filing 2013-09-03",HIGH,capability:m&a-integration,+
MSF01,2000,"Microsoft / Pocket PC team",ARTIFACT,"Pocket PC 2000 OS released; first Windows CE platform targeting handheld competition.",,3,"Microsoft historical record; Lamberg et al 2021 background",MEDIUM,capability:mobile-platform-development,+
MSF02,2003,"Microsoft",ARTIFACT,"Windows Mobile 2003 released; reorganization of Pocket PC line; pre-iPhone smartphone platform.",,4,"Microsoft historical record",MEDIUM,capability:mobile-platform-development,+
MSF03,2010-02,"Microsoft / Steve Ballmer",POLICY,"Windows Phone 7 announced at MWC; full break from Windows Mobile; Metro UI architecture; closed app-platform model.",,3,"Microsoft press release 2010-02-15; press coverage",HIGH,capability:mobile-platform-development,+
MSF04,2010-10,"Microsoft",ARTIFACT,"Windows Phone 7 launches; minimal OEM uptake outside HTC, Samsung, LG; Microsoft trailing iOS + Android.",MSF03,3,"Microsoft 10-K FY2011 SEC filing",HIGH,capability:mobile-platform-development,-
MSF05,2014-04-25,"Microsoft / Nokia",DECISION,"Microsoft-Nokia D&S transaction closes; Nokia D&S division becomes Microsoft Mobile Oy subsidiary.",NOK26,1,"Microsoft 8-K SEC filing 2014-04-25; Microsoft 10-K FY2014 p. 49",HIGH,capability:m&a-integration,+
MSF06,2014-04-25,"Microsoft / Stephen Elop",PERSONNEL,"Elop joins Microsoft as EVP, Microsoft Devices Group (reporting to Satya Nadella).",MSF05,1,"Microsoft 8-K SEC filing 2014-04-25",HIGH,capability:m&a-integration,+
MSF07,2014-02-04,"Satya Nadella",PERSONNEL,"Nadella becomes Microsoft CEO (succeeding Ballmer, who championed the Nokia deal); strategic priorities shift mid-integration.",,1,"Microsoft 8-K SEC filing 2014-02-04",HIGH,capability:strategic-focus,+
MSF08,2014-07-17,"Satya Nadella",DECISION,"Microsoft announces 18,000-person layoff plan; 12,500 (~70%) are former Nokia D&S employees; cuts pre-date any feature-level integration assessment.",MSF05,1,"Microsoft 8-K SEC filing 2014-07-17; Microsoft 10-K FY2015 p. 59",HIGH,capability:m&a-integration,-
MSF09,2014-2015,"Microsoft Mobile leadership",POLICY,"Nokia hardware-software co-design cadence (Espoo) NOT preserved as POLICY in Microsoft Mobile; integration governance falls under Microsoft Windows Phone product schedule.",MSF08,3,"Lamberg et al 2021 p. 1097-98 (post-acquisition analysis); reasoned inference from MSF08 magnitude",MEDIUM,capability:mobile-platform-development,-
MSF10,2014-2015,"Microsoft Mobile / Nokia procurement",FAILURE,"Long-tenured Nokia tier-1 supplier relationships not re-anchored in Microsoft procurement org; supplier-relationship knowledge dispersed via layoffs.",MSF08,3,"Lamberg et al 2021 p. 1097-98; Vuori & Huy 2016 p. 36",LOW,capability:supply-chain-coordination,-
MSF11,2014-2015,"Stephen Elop",PERSONNEL,"Elop role narrowed; reports through Microsoft Devices reorg layers.",MSF06,4,"Press coverage 2015; reasoned inference from MSF12 timing",MEDIUM,capability:m&a-integration,-
MSF12,2015-06-17,"Satya Nadella",PERSONNEL,"Microsoft announces Stephen Elop departure; Devices Group reorganized; Terry Myerson assumes mobile responsibility.",MSF11,1,"Microsoft 8-K SEC filing 2015-06-17",HIGH,capability:m&a-integration,-
MSF13,2015-07-08,"Microsoft / Satya Nadella",FAILURE,"Microsoft announces USD 7.6B writedown of Nokia D&S goodwill + intangibles + USD 0.8B restructuring; explicitly impairs effectively the entire purchase price.",MSF05,1,"Microsoft 8-K SEC filing 2015-07-08; Microsoft 10-K FY2015 p. 60-62",HIGH,capability:m&a-integration,-
MSF14,2015-07-08,"Microsoft / Satya Nadella",DECISION,"Phone hardware strategy reset announced: 'focus our phone hardware business' — phasing out broad consumer Lumia line.",MSF13,1,"Microsoft 8-K SEC filing 2015-07-08; Nadella memo 2015-07-08",HIGH,capability:mobile-platform-development,-
MSF15,2016-05-25,"Microsoft",DECISION,"Microsoft sells feature-phone (Nokia-branded) business to FIH Mobile (Foxconn) + HMD Global for USD 350M; ~4,500 employees transfer.",MSF14,1,"Microsoft 8-K SEC filing 2016-05-25",HIGH,capability:m&a-integration,-
MSF16,2016-2017,"Microsoft / Satya Nadella",FAILURE,"Lumia line discontinued; no successor Windows-on-mobile consumer device; mobile-platform strategy effectively terminated.",MSF14,1,"Microsoft 10-K FY2017 SEC filing; Nadella 2017 statements at MWC",HIGH,capability:mobile-platform-development,-
MSF17,2014-2017,"Microsoft Mobile",FAILURE,"Windows Phone global market share declines from ~3% (2014) to <0.5% (2017).",MSF14,3,"IDC + Gartner shipment data; Microsoft 10-K FY2017",HIGH,capability:mobile-platform-development,-
NOK27,2007-2014,"Nokia engineering",POLICY,"Symbian-era hardware-software co-design cadence: 18-24 month device program; OS feature roadmap synchronized with silicon partner roadmaps; in-house OS team co-located with hardware.",,3,"Vuori & Huy 2016 p. 17-19, 33-36",HIGH,capability:mobile-platform-development,+
NOK28,2010-2014,"Nokia HR",POLICY,"Tenure distribution at acquisition: ~50% Nokia engineering staff with 10+ years tenure; deep substrate but high inertia.",,3,"Lamberg et al 2021 p. 1093; Vuori & Huy 2016 background",MEDIUM,capability:organizational-coordination,+
NOK29,2013-09,"Nokia ex-D&S",POLICY,"Nokia HERE maps + Nokia Networks + Nokia Technologies (IP licensing) retained by Nokia post-D&S sale; substrate split: hardware-OS log goes to Microsoft, networks-IP log stays at Nokia.",NOK26,1,"Nokia 20-F FY2013 SEC filing; Microsoft 8-K 2013-09-03",HIGH,capability:strategic-focus,+
MSF18,2014-2015,"Microsoft Mobile / Espoo engineering",FAILURE,"Espoo R&D center activity curtailed; key engineering leaders (unnamed at Level 3) exit through 2014-15 layoffs; knowledge transfer to Redmond not formally documented as POLICY events.",MSF09,3,"Lamberg et al 2021 p. 1098; Vuori & Huy 2016 p. 36",MEDIUM,capability:mobile-platform-development,-
