event_id,timestamp,actor,event_type,payload,caused_by,source_level,source_citation,confidence,relevant_query,weight_sign
TOY11,1975-1985,"Toyota production engineering",POLICY,"A3 problem-solving format codified: single 11x17 sheet structure (background, current state, target, analysis, countermeasures, plan, follow-up); mentor-mentee review cycle.",TOY08,3,"Liker 2004 ch. 13 p. 164; Sobek & Smalley 2008 (background)",HIGH,capability:production-system,+
TOY12,1978,"Taiichi Ohno",ARTIFACT,"Ohno publishes 'Toyota Production System' (Japanese edition); TPS substrate partially exposed in print.",,3,"Ohno 1978 (cited in Liker 2004 references)",HIGH,capability:production-system,+
TOY13,1984-1990,"Toyota / GM (NUMMI joint venture)",ARTIFACT,"NUMMI plant (Fremont CA): worst-performing GM plant reopens under Toyota management; quality + productivity rise to Toyota-Japan levels with same workforce.",,3,"Liker 2004 ch. 2 p. 23-26; Adler 1993 (cited in Liker)",HIGH,capability:production-system,+
TOY14,1985-1995,"Toyota / supplier base",POLICY,"Keiretsu supplier-development: long-term tier-1 supplier relationships; Toyota engineers embedded at supplier facilities to teach TPS at supplier substrate level.",,3,"Liker 2004 ch. 17 p. 199-220",HIGH,capability:supply-chain-coordination,+
TOY15,1988,"Toyota / Georgetown KY",ARTIFACT,"Toyota Motor Manufacturing Kentucky (TMMK) starts production; first US wholly-owned Toyota plant; staffed by US workers trained by Japanese senshu (mentors).",,3,"Liker 2004 ch. 2",HIGH,capability:production-system,+
TOY16,1990,"Womack Jones Roos / MIT IMVP",ARTIFACT,"'The Machine That Changed the World' published; first wide Western-language exposition of lean production based on MIT International Motor Vehicle Program 5-year study.",TOY13,3,"Womack Jones Roos 1990 (cited in Liker 2004)",HIGH,capability:production-system,+
TOY17,1990-2000,"Toyota Production System Support Center",POLICY,"TSSC (US-based nonprofit) formed: Toyota teaches TPS to non-automotive Western organizations (Bose, hospital systems, etc.); explicit substrate-not-snapshot transfer model.",TOY13,3,"Liker 2004 ch. 22 p. 287-293",HIGH,capability:production-system,+
TOY18,1995,"Toyota leadership / Hiroshi Okuda",POLICY,"'Toyota Way' internal document drafted; codifies operating principles for global rollout.",,3,"Liker 2004 introduction + ch. 1; Toyota 2001 internal document referenced",HIGH,capability:production-system,+
TOY19,1990s-2000s,"Toyota plants worldwide",ARTIFACT,"Annual kaizen suggestion counts: Toyota averages 1M+ suggestions/year company-wide; ~99% implementation rate (aggregated; Maximum-granularity rule §2.3 applied).",TOY09,3,"Liker 2004 ch. 13 p. 159 (citing Toyota figures)",MEDIUM,capability:production-system,+
TOY20,1999,"Spear & Bowen / HBS",ARTIFACT,"Spear & Bowen publish 'Decoding the DNA of the Toyota Production System' in HBR; four rules codified as observer-side reading of Toyota substrate.",TOY05,3,"Spear & Bowen 1999 HBR",HIGH,capability:production-system,+
TOY21,1999,"Steven Spear",POLICY,"Spear's 'four rules' (as reported): (1) all work highly specified as to content/sequence/timing/outcome; (2) every customer-supplier connection direct; (3) pathway for every product simple and direct; (4) improvements made using scientific method at lowest possible level under teacher guidance.",TOY20,3,"Spear & Bowen 1999 HBR p. 98",HIGH,capability:production-system,+
TOY22,2001-2010,"Toyota leadership",POLICY,"Senshu (master-mentor) lineage formalized: each new TPS implementation overseas matched with Japanese senshu for 3-5 years; mentorship traceable to Ohno disciples.",TOY11,3,"Liker 2004 ch. 22 p. 287-293; Spear 2009 ch. 7",HIGH,capability:production-system,+
TOY23,2000-2010,"Toyota plants",FAILURE,"Periodic line-stop events (andon cord pulls) treated as continuous learning data; per Toyota internal: ~1000+ andon pulls per plant per day at mature plants.",TOY05,3,"Liker 2004 ch. 11 p. 129-138 (aggregated)",MEDIUM,capability:production-system,-
TOY24,2009-2010,"Toyota / Akio Toyoda",FAILURE,"Unintended-acceleration recall crisis: 9M+ vehicles recalled; $1B+ in settlements; CEO Akio Toyoda testifies before US Congress; major public FAILURE event triggers post-mortem.",,1,"NHTSA records 2009-2010; Toyota 20-F FY2010-FY2011 SEC filings; Liker & Convis 2011 (post-recall analysis)",HIGH,capability:production-system,-
TOY25,2011,"Toyota / Akio Toyoda",POLICY,"Post-recall internal audit explicitly diagnoses cause as overshoot of growth + thinning of senshu lineage at new plants; remediation = restoration of mentor density per TPS substrate principles.",TOY24,3,"Liker & Convis 2011 (cited in TPS literature); Toyota 2011 sustainability report",MEDIUM,capability:production-system,+
TOY26,2010-2020,"Toyota plants",POLICY,"Toyota Way 2020 update internal document; reinforces TPS substrate after 2009-10 recall.",TOY25,4,"Press coverage 2020; Toyota corporate communications",LOW,capability:production-system,+
IMI01,1990s-2020s,"Multiple imitators",DECISION,"Western manufacturers (GM, Ford, Boeing, US healthcare systems, etc.) initiate 'Lean transformation' programs based on Spear & Bowen 1999 + Womack-Jones-Roos 1990 + Liker 2004 published descriptions.",,3,"Liker 2004 ch. 22 p. 285-287 (catalog of imitator programs); Spear 2009 ch. 8 (failures)",HIGH,capability:production-system-imitation,+
IMI02,1990s-2020s,"Multiple imitators",ARTIFACT,"Imitators install andon cords, kanban cards, takt-time boards, A3 templates as visible artifacts.",IMI01,3,"Liker 2004 ch. 22; Spear & Bowen 1999",HIGH,capability:production-system-imitation,+
IMI03,1990s-2020s,"Multiple imitators",FAILURE,"Empirically: andon cord present but workers culturally inhibited from pulling; quota-driven culture penalizes line stops.",IMI02,3,"Spear & Bowen 1999 p. 100-103 (Aluminum Co. case); Liker 2004 ch. 22 p. 285",HIGH,capability:production-system-imitation,-
IMI04,1990s-2020s,"Multiple imitators",FAILURE,"Standard work documents written by industrial engineers not operators; documents become compliance instruments not living substrate; revision frequency near zero.",IMI02,3,"Spear & Bowen 1999 p. 100-103; Spear 2009 ch. 8",HIGH,capability:production-system-imitation,-
IMI05,1990s-2020s,"Multiple imitators",FAILURE,"5 Whys not paired with on-the-floor scientific-method culture; root-cause investigations stop at first plausible blame.",IMI02,3,"Liker 2004 ch. 20 p. 252-258; Spear 2009 ch. 6",HIGH,capability:production-system-imitation,-
IMI06,1990s-2020s,"Multiple imitators",FAILURE,"Kaizen suggestion programs launched with quarterly volume targets; suggestion volume rises briefly then collapses; ~95% of programs abandoned within 3 years.",IMI02,3,"Liker 2004 ch. 22 p. 290-292 (Toyota TSSC observation of imitator programs)",MEDIUM,capability:production-system-imitation,-
IMI07,1990s-2020s,"Multiple imitators",POLICY,"Supplier-relationships managed under traditional adversarial-bid contracting; no embedded-engineer model; supplier-development logs not created.",,3,"Liker 2004 ch. 17 p. 218-220 (Big Three vs Toyota supplier contrast)",HIGH,capability:supply-chain-coordination,-
IMI08,1990s-2020s,"Multiple imitators",FAILURE,"Senshu / master-mentor lineage not imported: lean consultants brought in for 6-12 month engagements; no multi-year mentor matching; mentor lineage absent.",IMI02,3,"Liker 2004 ch. 22 p. 286-290; Spear 2009 ch. 7",HIGH,capability:production-system-imitation,-
IMI09,2000s-2020s,"Multiple imitators",FAILURE,"NUMMI dissolution 2010: even GM (with 25 years inside NUMMI) failed to propagate the substrate to other GM plants; NUMMI closed during GM bankruptcy.",,3,"Liker 2004 ch. 2 retrospective; press coverage 2010 NUMMI closure",HIGH,capability:production-system-imitation,-
IMI10,2000s-2020s,"Multiple imitators",ARTIFACT,"'Lean Six Sigma' certification industry produces ~1M+ certified practitioners; near-zero documented sustained substrate transformation; certifications are snapshots of Spear's four rules without log generation.",IMI01,4,"Spear 2009 ch. 8; trade-press surveys (level 4 — flagged)",LOW,capability:production-system-imitation,-
