case_id,cik,company,stratum,role,verdict,reason,replacement_case_id
P077,1179060,CROSSTEX ENERGY LP  (CIK 0001179060),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P078,1581405,"PHILLIPS EDISON GROCERY CENTER REIT II, INC.  (CIK 0001581405)",joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P079,867773,SUNPOWER CORP  (SPWRQ)  (CIK 0000867773),joint_venture,gap_prone,PASS,"positive-signal query matched: ""joint venture agreement""",
P080,93410,CHEVRON CORP  (CVX)  (CIK 0000093410),joint_venture,gap_prone,PASS,positive-signal query matched: curated:Gorgon LNG JV,
P081,37996,"FORD MOTOR CO  (F, F-PB, F-PC, F-PD)  (CIK 0000037996)",joint_venture,gap_prone,PASS,positive-signal query matched: curated:Ford China JV,
P082,831259,FREEPORT-MCMORAN INC  (FCX)  (CIK 0000831259),joint_venture,gap_prone,PASS,positive-signal query matched: curated:Grasberg JV,
P083,29915,DOW CHEMICAL CO /DE/  (CIK 0000029915),joint_venture,gap_prone,PASS,positive-signal query matched: curated:Sadara JV (Dow/Aramco),
P084,101778,MARATHON OIL CORP  (MRO)  (CIK 0000101778),joint_venture,gap_prone,PASS,positive-signal query matched: curated:Marathon LNG JV,
P085,732712,VERIZON COMMUNICATIONS INC  (VZ)  (CIK 0000732712),joint_venture,gap_prone,PASS,positive-signal query matched: curated:Verizon Wireless JV,
P086,1166691,"COMCAST CORP  (CCZ, CMCSA)  (CIK 0001166691)",joint_venture,gap_prone,PASS,positive-signal query matched: curated:NBCUniversal JV,
P087,24741,CORNING INC /NY  (GLW)  (CIK 0000024741),joint_venture,gap_prone,PASS,positive-signal query matched: curated:Dow Corning JV,
P088,1163165,CONOCOPHILLIPS  (COP)  (CIK 0001163165),joint_venture,gap_prone,PASS,positive-signal query matched: curated:Australia Pacific LNG JV,
P089,1360604,"HEALTHCARE TRUST OF AMERICA, INC.  (HR)  (CIK 0001360604)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P090,945436,"SUNEDISON, INC.  (CIK 0000945436)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P091,1307748,"Inland American Real Estate Trust, Inc.  (IVT)  (CIK 0001307748)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P092,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC  (MATV)  (CIK 0001000623),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P093,1252849,WELLS REAL ESTATE INVESTMENT TRUST II INC  (CIK 0001252849),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P094,1662972,"Blackstone Real Estate Income Trust, Inc.  (BSTT)  (CIK 0001662972)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P095,1345126,"Compass Diversified Holdings  (CODI, CODI-PA, CODI-PB, CODI-PC)  (CIK 0001345126)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P096,1464720,Industrial Income Trust Inc.  (CIK 0001464720),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P097,924901,MACK CALI REALTY CORP  (VRE)  (CIK 0000924901),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P098,1464423,"PennyMac Mortgage Investment Trust  (PMT, PMTU, PMT-PA, PMT-PB, PMT-PC)  (CIK 0001464423)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P099,1455650,"NorthStar Real Estate Income Trust, Inc.  (CIK 0001455650)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P100,1540047,"Nexeo Solutions Holdings, LLC  (CIK 0001540047)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P101,1327978,Dividend Capital Diversified Property Fund Inc.  (CIK 0001327978),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P102,1498547,"COLE CREDIT PROPERTY TRUST IV, INC.  (CMRF)  (CIK 0001498547)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P103,1468516,AOL Inc.  (CIK 0001468516),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P104,1224608,"CNO Financial Group, Inc.  (CNO, CNO-PA)  (CIK 0001224608)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P105,1020569,IRON MOUNTAIN INC  (IRM)  (CIK 0001020569),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P106,1604416,"Nexeo Solutions, Inc.  (CIK 0001604416)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P107,923284,INLAND REAL ESTATE CORP  (CIK 0000923284),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P108,1313918,Deerfield Capital Corp.  (CIK 0001313918),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P109,1069258,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.  (KTOS)  (CIK 0001069258)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P110,1421182,Verso Corp  (CIK 0001421182),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P111,1490626,"COLE CORPORATE INCOME TRUST, INC.  (CIK 0001490626)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P112,1498021,"ExamWorks Group, Inc.  (CIK 0001498021)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P113,47129,HERTZ CORP  (CIK 0000047129),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P114,1525287,Sprague Resources LP  (CIK 0001525287),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P115,1364479,HERTZ GLOBAL HOLDINGS INC  (HRI)  (CIK 0001364479),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P116,1308606,Cole Credit Property Trust II Inc  (CIK 0001308606),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P117,1091862,Chemtura CORP  (CIK 0001091862),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P118,915862,PANTRY INC  (CIK 0000915862),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P119,746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC  (EXPD)  (CIK 0000746515),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P120,1425923,"Cole Credit Property Trust III, Inc.  (CIK 0001425923)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P121,1564657,"NorthStar Real Estate Income II, Inc.  (CIK 0001564657)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P122,1390213,Corporate Property Associates 17 - Global INC  (CIK 0001390213),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P123,1455271,"Griffin-American Healthcare REIT II, Inc.  (CIK 0001455271)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P124,1222840,INLAND WESTERN RETAIL REAL ESTATE TRUST INC  (CIK 0001222840),roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P125,1468010,"Steadfast Income REIT, Inc.  (CIK 0001468010)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P126,1314152,"Jones Lang LaSalle Income Property Trust, Inc.  (CIK 0001314152)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P127,1567925,"Carter Validus Mission Critical REIT II, Inc.  (SILA)  (CIK 0001567925)",roll_up,gap_prone,PASS,"positive-signal query matched: ""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition""",
P128,1665918,US Foods Holding Corp.  (USFD)  (CIK 0001665918),roll_up,gap_prone,PASS,positive-signal query matched: curated:US Foods roll-up,
P129,1590714,Platform Specialty Products Corp  (ESI)  (CIK 0001590714),roll_up,gap_prone,PASS,positive-signal query matched: curated:Platform Specialty Products buy-and-build,
P130,895655,JARDEN CORP  (CIK 0000895655),roll_up,gap_prone,PASS,positive-signal query matched: curated:Jarden consumer roll-up,
P131,1533932,"Vantiv, Inc.  (CIK 0001533932)",roll_up,gap_prone,PASS,positive-signal query matched: curated:Vantiv payments roll-up,
P132,1378992,BERRY PLASTICS GROUP INC  (BERY)  (CIK 0001378992),roll_up,gap_prone,PASS,positive-signal query matched: curated:Berry Plastics roll-up,
P133,96289,RADIOSHACK CORP  (CIK 0000096289),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P134,1563407,"Smart & Final Stores, Inc.  (CIK 0001563407)",distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P135,29669,RR Donnelley & Sons Co  (CIK 0000029669),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P136,837173,"Walter Energy, Inc.  (CIK 0000837173)",distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P137,1001082,DISH Network CORP  (CIK 0001001082),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P138,1588238,Rice Energy Inc.  (CIK 0001588238),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P139,1548691,Samson Resources Corp  (CIK 0001548691),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P140,1060990,QUICKSILVER RESOURCES INC  (CIK 0001060990),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P141,1297720,James River Coal CO  (CIK 0001297720),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P142,1481792,"Quad/Graphics, Inc.  (QUAD)  (CIK 0001481792)",distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P143,1037016,NII HOLDINGS INC  (CIK 0001037016),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P144,906163,NVR INC  (NVR)  (CIK 0000906163),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P145,1307954,Huntsman CORP  (HUN)  (CIK 0001307954),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P146,1301063,"Alpha Natural Resources, Inc.  (CIK 0001301063)",distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P147,1520566,Nationstar Mortgage Holdings Inc.  (CIK 0001520566),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P148,1704715,"Contura Energy, Inc.  (AMR)  (CIK 0001704715)",distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
P149,72911,NORTEL NETWORKS CORP  (CIK 0000072911),distressed,gap_prone,PASS,"positive-signal query matched: ""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan""",
